1kp,Species,seqid
QUTB,Aextoxicon punctatum,1600729034
HAEU,Berberidopsis beckleri,1600729034
IWMW,Buxus sempervirens,2120477204
EHNF,Dillenia indica,1693290177
OKEF,Hibbertia grossulariifolia,1693290177
XMQO,Gunnera manicata,1133408614
VQFW,Platanus occidentalis,114329725
GRRW,Grevillea robusta,2127894788
SIIK,Hakea drupacea,712911575
RQUG,Hakea prostrata,712911575
AALA,Meliosma cuneifolia,2127869678
YHFG,Nandina domestica,114329947
WFBF,Podophyllum peltatum,1418582125
QTJY,Euptelea pleiosperma,1002164381
NMGG,Hypecoum procumbens,1919575894
CCID,Akebia trifoliata,1002164210
LVNW,Cocculus laurifolius,2127892239
IRAF,Argemone mexicana,2088244029
AUGV,Capnoides sempervirens,1919575894
UDHA,Ceratocapnos vesicaria,1919575894
XMVD,Chelidonium majus,1829771493
ZGQD,Corydalis linstowiana,1919575894
EVOD,Eschscholzia californica,1919575894
SSDU,Papaver bracteatum,1418579571
BEKN,Papaver rhoeas,1418579485
QCOU,Papaver setigerum,1002164813
RQNK,Papaver somniferum,1002164813
XHKT,Sanguinaria canadensis,2088244029
ZUHO,Anemone hupehensis,2055417518
UPOG,Anemone pulsatilla,1488178165
Aquco,Aquilegia coerulea,1610625611
CYVA,Cimicifuga racemosa,1642526125
VGHH,Hydrastis canadensis,1198035653
GBVZ,Thalictrum thalictroides,1488177232
SWOH,Trochodendron aralioides,511348509
URDJ,Amborella trichopoda,34500893
Ambtr,Amborella trichopoda,34500893
FZJL,Austrobaileya scandens,2088257498
VZCI,Illicium floridanum,1198027834
ROAP,Illicium parviflorum,1198035489
NWMY,Kadsura heteroclita,2088257498
NPND,Ceratophyllum demersum,159161139
WTKZ,Nuphar advena,121720592
WZFE,Ascarina rubricaulis,1509841745
OSHQ,Sarcandra glabra,1509841191
GJNX,Cypselea humifusa,1600726718
BJKT,Delosperma echinatum,1600729461
HZTS,Sesuvium portulacastrum,1600726718
EDIT,Sesuvium verrucosum,1600726718
OMYK,Trianthema portulacastrum,1600729461
BERS,Zaleya pentandra,1600729461
PDQH,Aerva lanata,1824669624
HDSY,Aerva persica,1824669624
ZBPY,Alternanthera brasiliana,1693293517
OHKC,Alternanthera caracasana,1693293517
BWRK,Alternanthera sessilis,1693293517
EYRD,Alternanthera tenella,1693293517
XSSD,Amaranthus cruentus,2088243001
WMLW,Amaranthus retroflexus,2088243001
FVXD,Beta maritima,1642519430
CUTE,Blutaparon vermiculare,2088243001
SMMC,Chenopodium quinoa,1199895518
WGET,Kochia scoparia,1642519430
CTYH,Basella alba,1600729786
CPKP,Lophophora williamsii,2091528410
QAIR,Opuntia polyacantha,2091528410
JLOV,Pereskia aculeata,2091528410
SHEZ,Dianthus caryophyllus,1509842894
RXEN,Polycarpaea repens,576303595
SKNL,Saponaria officinalis,2127874737
OLES,Schiedea membranacea,576303595
FZQN,Silene latifolia,374249929
TJES,Spergularia media,1600726632
ONLQ,Atriplex hortensis,2127896852
AAXJ,Atriplex prostrata,2127896852
CBJR,Atriplex rosea,2127896852
WPYJ,Frankenia laevis,1600729202
YNFJ,Microtea debilis,1600728436
RNBN,Mollugo cerviana,1600730216
SCAO,Mollugo nudicaulis,1600730216
NXTS,Mollugo verticillata,1600730216
WQUF,Nepenthes alata,1935444748
HMFE,Allionia incarnata,1600730130
DVXD,Allionia incarnata,1600730130
EGOS,Allionia incarnata,1600730130
ZBTA,Boerhavia coccinea,1834980455
VJPU,Boerhavia dominii,1834980455
JAFJ,Bougainvillea spectabilis,1600728265
JGAB,Mirabilis jalapa,1600730130
AZBL,Petiveria alliacea,1610617098
RUUB,Physena madagascariensis,1600728019
SFKQ,Hilleria latifolia,1610617188
BKQU,Phytolacca americana,1593550413
MRKX,Phytolacca bogotensis,1593550413
WOBD,Limonium spectabile,1783498880
CGGO,Plumbago auriculata,1600726846
FYSJ,Polygonum convolvulus,1834978380
LDEL,Portulaca amilis,1600730302
LLQV,Portulaca cryptopetala,1600730302
CPLT,Portulaca grandiflora,1600730302
UQCB,Portulaca molokiniensis,1600730302
EZGR,Portulaca oleracea,1274236978
IWIS,Portulaca pilosa,1600728096
GCYL,Portulaca suffruticosa,1600730302
BYNZ,Portulaca umbraticola,1600730302
KDCH,Portulaca umbraticola,1600730302
GIWN,Sarcobatus vermiculatus,1583103954
CVDF,Simmondsia chinensis,1583104123
HTDC,Tamarix chinensis,1583104701
STKY,Balanophora fungosa,1488176944
VGVI,Dendropemon caribaeus,2127883807
XKPS,Ximenia americana,1488176944
XGFU,Exocarpos cupressiformis,1863124001
RSPO,Santalum acuminatum,1863124001
QKMG,Phoradendron serotinum,2055413170
LMVB,Liquidambar styraciflua,1829776904
TOKV,Aphanopetalum resinosum,1834966687
NUZN,Cercidiphyllum japonicum,1418584397
KWGC,Crassula perforata,2018132022
ZJUL,Rhodiola rosea,1610635902
FYTP,Daphniphyllum macropodum,1418581156
IUSR,Myriophyllum aquaticum,1859676200
YKQR,Hamamelis virginiana,1418580982
TQOO,Loropetalum chinense,1418575499
OMDH,Loropetalum chinense,1418575499
HQRJ,Loropetalum chinense,1418575499
UWFU,Itea virginica,1418581245
HTIP,Paeonia lactiflora,1583106759
CKKR,Astilbe chinensis,2127891829
OOVX,Boykinia jamesii,2127891829
ERIA,Heuchera sanguinea,1693302791
DAYQ,Mitella pentandra,1693303317
UHBY,Oresitrophe rupifraga,1381394252
YKFU,Peltoboykinia watanabei,1942105773
FCBJ,Saxifraga stolonifera,1418581070
CTSS,Tellima breviflora,1693303317
SLOI,Tiarella polyphylla,1693303198
TQKZ,Angelica archangelica,2088249662
CWYJ,Heracleum lanatum,1834966601
SUVN,Hedera helix,966201734
OINM,Hydrocotyle umbellata,1236512306
EDBB,Polyscias fruticosa,966201734
MVSE,Griselinia littoralis,1904805314
QIKZ,Griselinia racemosa,1904805314
WEQK,Centella asiatica,1904805314
SBZH,Pennantia corymbosa,1878349519
SALZ,Pittosporum resiniferum,2120472585
NTEO,Pittosporum sahnianum,2120472585
SXML,Ilex paraguariensis,1070113402
